id,code_ghn,code,name,district_id/id
res_country_ward_000001,300606,45327,Mỹ Lộc,res_country_district_00285
res_country_ward_000002,300609,45328,Sơn Lộc,res_country_district_00285
res_country_ward_000003,800017,45406,Bình An,res_country_district_00282
res_country_ward_000004,301201,45407,An Lộc,res_country_district_00282
res_country_ward_000005,301213,45408,Thịnh Lộc,res_country_district_00282
res_country_ward_000006,301208,45409,Tân Lộc,res_country_district_00282
res_country_ward_000007,301204,45410,Hồng Lộc,res_country_district_00282
res_country_ward_000008,301205,45411,Ích Hậu,res_country_district_00282
res_country_ward_000009,301207,45412,Phù Lưu,res_country_district_00282
res_country_ward_000010,800018,45413,Lộc Hà,res_country_district_00282
res_country_ward_000011,301211,45414,Thạch Kim,res_country_district_00282
res_country_ward_000012,301210,45415,Thạch Châu,res_country_district_00282
res_country_ward_000013,301212,45416,Thạch Mỹ,res_country_district_00282
res_country_ward_000014,,45418,Hộ Đô,res_country_district_00282
res_country_ward_000015,300508,45507,Xuân Hải,res_country_district_00289
res_country_ward_000016,300515,45508,Xuân Phổ,res_country_district_00289
res_country_ward_000017,800019,45509,Đan Trường,res_country_district_00289
res_country_ward_000018,300517,45510,Xuân Trường,res_country_district_00289
res_country_ward_000019,300509,45511,Xuân Hội,res_country_district_00289
res_country_ward_000020,300505,45506,Tiên Điền,res_country_district_00289
res_country_ward_000021,300519,45513,Xuân Yên,res_country_district_00289
res_country_ward_000022,300514,45516,Xuân Mỹ,res_country_district_00289
res_country_ward_000023,300512,45518,Xuân Liên,res_country_district_00289
res_country_ward_000024,300518,45520,Xuân Viên,res_country_district_00289
res_country_ward_000025,300511,45522,Xuân Lam,res_country_district_00289
res_country_ward_000026,300206,45610,Thuận Lộc,res_country_district_00288
res_country_ward_000027,300415,45710,Đức Quang,res_country_district_00284
res_country_ward_000028,300419,45712,Đức Tùng,res_country_district_00284
res_country_ward_000029,300427,45714,Tùng Ảnh,res_country_district_00284
res_country_ward_000030,300402,45716,Bùi Xá,res_country_district_00284
res_country_ward_000031,300428,45718,Yên Hồ,res_country_district_00284
res_country_ward_000032,800030,45720,Lâm Trung Thủy,res_country_district_00284
res_country_ward_000033,300425,45722,Trung Lễ,res_country_district_00284
res_country_ward_000034,300410,45724,Đức Lâm,res_country_district_00284
res_country_ward_000035,800029,45726,Hòa Lạc,res_country_district_00284
res_country_ward_000036,300412,45728,Đức Lập,res_country_district_00284
res_country_ward_000037,300403,45730,Đức An,res_country_district_00284
res_country_ward_000038,300411,45732,Đức Lạng,res_country_district_00284
res_country_ward_000039,300331,45807,Sơn Trung,res_country_district_00283
res_country_ward_000040,300330,45811,Sơn Trà,res_country_district_00283
res_country_ward_000041,300320,45813,Sơn Mỹ,res_country_district_00283
res_country_ward_000042,800012,45816,An Hòa Thịnh,res_country_district_00283
res_country_ward_000043,300327,45818,Sơn Thịnh,res_country_district_00283
res_country_ward_000044,300329,45820,Sơn Tiến,res_country_district_00283
res_country_ward_000045,282523,42632,Quảng Thạch,res_country_district_00338
res_country_ward_000046,282526,42634,Quảng Trung,res_country_district_00338
res_country_ward_000047,282622,42708,Ninh Hải,res_country_district_00336
res_country_ward_000048,282605,42710,Định Hải,res_country_district_00336
res_country_ward_000049,282606,42713,Hải An,res_country_district_00336
res_country_ward_000050,282613,42715,Hải Ninh,res_country_district_00336
res_country_ward_000051,282628,42717,Thanh Thủy,res_country_district_00336
res_country_ward_000052,282620,42719,Ngọc Lĩnh,res_country_district_00336
res_country_ward_000053,282617,42721,Hùng Sơn,res_country_district_00336
